,Country,Total_cases,New_cases,Total_deaths,New_deaths,Total_recovered,Active_cases,Serious,Case_per_million,Deaths_per_million,Total_tests,Tests_per_million
0,USA,1514157,6384,90246.0,133,340609.0,1083302.0,16248.0,4578.0,273.0,12048033.0,36425.0
1,Russia,281752,9709,2631.0,94,67373.0,211748.0,2300.0,1931.0,18.0,6916088.0,47394.0
2,Spain,277719,1214,27650.0,87,195945.0,54124.0,1152.0,5940.0,591.0,3037840.0,64977.0
3,UK,240161,0,34466.0,0,1.0,,1559.0,3540.0,508.0,2489563.0,36696.0
4,Brazil,233648,506,15668.0,35,89672.0,128308.0,8318.0,1100.0,74.0,735224.0,3462.0
5,Italy,225435,675,31908.0,145,125176.0,68351.0,762.0,3728.0,528.0,3004960.0,49691.0
6,France,179365,0,27625.0,0,61066.0,90674.0,2132.0,2749.0,423.0,1384633.0,21218.0
7,Germany,176450,206,8027.0,0,153400.0,15023.0,1203.0,2107.0,96.0,3147771.0,37585.0
8,Turkey,149435,1368,4140.0,44,109962.0,35333.0,914.0,1774.0,49.0,1624994.0,19293.0
9,Iran,120198,1806,6988.0,51,94464.0,18746.0,2705.0,1433.0,83.0,686935.0,8192.0
10,India,95474,4826,3014.0,143,36536.0,55924.0,11.5,69.0,2.0,2227642.0,1616.0
11,Peru,88541,0,2523.0,0,28272.0,57746.0,840.0,2690.0,77.0,630482.0,19156.0
12,Canada,75864,0,5679.0,0,37819.0,32366.0,502.0,2012.0,151.0,1265502.0,33567.0
13,Belgium,55280,291,9052.0,47,14630.0,31598.0,371.0,4772.0,781.0,682980.0,58962.0
14,Saudi Arabia,54752,2736,312.0,10,25722.0,28718.0,202.0,1576.0,9.0,586405.0,16878.0
15,Mexico,47144,2112,5045.0,278,31848.0,10251.0,378.0,366.0,39.0,163691.0,1271.0
16,Netherlands,43995,125,5680.0,10,1.0,,346.0,2568.0,332.0,287943.0,16809.0
17,Chile,43781,2353,450.0,29,19213.0,24118.0,769.0,2293.0,24.0,363496.0,19035.0
18,Pakistan,40151,1352,873.0,39,11341.0,27937.0,111.0,182.0,4.0,373410.0,1695.0
19,Ecuador,32763,0,2688.0,0,3433.0,26642.0,197.0,1861.0,153.0,93344.0,5301.0
20,Qatar,32604,1632,15.0,0,4370.0,28219.0,165.0,11341.0,5.0,157570.0,54811.0
21,Switzerland,30587,15,1881.0,2,27400.0,1306.0,69.0,3537.0,218.0,343359.0,39709.0
22,Sweden,30143,466,3679.0,5,4971.0,21493.0,287.0,2987.0,365.0,177500.0,17589.0
